"basin","comid","tocomid","stream_order","path_number"
"willamette",23805568,23805058,1,1
"willamette",23765297,23763653,2,2
"willamette",23780745,23780743,3,3
"willamette",23791347,23791345,1,1
"willamette",23801030,23801028,2,2
"willamette",23809550,23809548,3,3
"willamette",23809568,23809566,4,4
"willamette",23781243,23780715,1,1
"willamette",23773785,23773377,2,2
"willamette",23762917,23762915,3,3
"willamette",23764899,23763771,1,1
"willamette",23800706,23800704,2,2
"willamette",23763477,23763471,3,3
"willamette",23780731,23780729,4,4
"willamette",23804940,23804932,5,5
"willamette",23791277,23791275,7,6
"willamette",23791495,23791493,1,1
"willamette",23796819,23796817,3,3
"willamette",23805040,23805042,4,4
"willamette",23785645,23785643,5,5
"willamette",23787233,23787241,1,1
"willamette",23781745,23780975,2,2
"willamette",23805228,23806034,3,3
"willamette",23751936,23751934,4,4
"willamette",23809186,23809184,5,5
"willamette",137182882,23792573,7,6
"willamette",23815034,23815030,3,3
"willamette",23759372,23759370,5,5
"willamette",23786443,23786463,1,1
"willamette",23752624,23752622,2,2
"willamette",23785849,23785847,3,3
"willamette",23751900,23751898,5,5
"willamette",23774789,23773123,1,1
"willamette",23809598,23809596,4,4
"willamette",23751778,23751776,5,5
"willamette",23805502,23805538,1,1
"willamette",23773915,23773913,2,2
"willamette",23791419,23791417,3,3
"willamette",23780673,23780671,4,4
"willamette",23797395,23797413,1,1
"willamette",23792473,23792397,2,2
"willamette",23786299,23786297,3,3
"willamette",23809168,23809166,5,5
"willamette",137182882,23792573,7,6
"willamette",23786367,23786365,1,1
"willamette",23792283,23792277,2,2
"willamette",23759398,23759396,3,3
"willamette",23760052,23759466,1,1
"willamette",23752732,23751806,2,2
"willamette",23752506,23752504,3,3
"willamette",23772745,23772743,5,5
"willamette",23791017,23791015,7,6
"willamette",23760190,23759546,1,1
"willamette",23809186,23809184,5,5
"willamette",23753256,23753190,1,1
"willamette",23780987,23780985,2,2
"willamette",23773191,23773189,3,3
"willamette",23773247,23773245,4,4
"willamette",23809174,23809172,5,5
"willamette",23786885,23785943,1,1
"willamette",23800718,23800716,3,3
"willamette",23809446,23809444,4,4
"willamette",23804932,23804934,5,5
"willamette",23809976,23809978,1,1
"willamette",23752186,23752184,3,3
"willamette",23772997,23772999,5,5
"willamette",23815244,23814986,1,1
"willamette",947090083,947090084,3,3
"willamette",23809352,23809350,4,4
"willamette",23763147,23763145,5,5
"willamette",23791407,23791405,7,6
"willamette",23773353,23773351,4,4
"willamette",23763147,23763145,5,5
"willamette",23763539,23763537,4,4
"willamette",23785683,23785681,5,5
"willamette",23815058,23815056,7,6
"willamette",23801794,23800702,1,1
"willamette",23791549,23791573,2,2
"willamette",23805040,23805042,4,4
"willamette",23804882,23804880,5,5
"willamette",23809598,23809596,4,4
"willamette",23785773,23785771,5,5
"willamette",23765603,23765325,1,1
"willamette",23760208,23760188,3,3
"willamette",23791105,23791103,4,4
"willamette",23815046,23815044,7,6
"willamette",23759876,23759610,1,1
"willamette",23781037,23780871,2,2
"willamette",23751950,23751948,4,4
"willamette",23815058,23815056,7,6
"willamette",23752848,23752710,1,1
"willamette",23773891,23773901,2,2
"willamette",23800896,23800894,3,3
"willamette",23786037,23786035,4,4
"willamette",23751776,23751774,5,5
"willamette",23785753,23785751,1,1
"willamette",23791145,23791149,2,2
"willamette",23780683,23780681,3,3
"willamette",23796683,23796681,5,5
"willamette",23786849,23786103,1,1
"willamette",23791253,23791251,3,3
"willamette",23785645,23785643,5,5
"willamette",23791143,23791141,1,1
"willamette",23809392,23809378,2,2
"willamette",23804992,23804990,3,3
"willamette",23797061,23796553,1,1
"willamette",23786199,23786197,4,4
"willamette",23780897,23780895,5,5
"willamette",23797659,23796975,1,1
"willamette",23792503,23792499,2,2
"willamette",23785899,23785897,3,3
"willamette",23780577,23780575,5,5
"willamette",23791953,23791925,1,1
"willamette",23759348,23759346,2,2
"willamette",23786047,23786045,3,3
"willamette",23772997,23772999,5,5
"willamette",23763897,23762925,1,1
"willamette",23805188,23805186,2,2
"willamette",23804976,23804974,4,4
"willamette",23772731,23772729,5,5
"willamette",23801154,23801146,1,1
"willamette",23800798,23800796,3,3
"willamette",23800670,23800668,5,5
"willamette",23805692,23805700,1,1
"willamette",23805544,23805014,2,2
"willamette",23791017,23791015,7,6
"willamette",25019066,23774743,1,1
"willamette",23781585,23781597,2,2
"willamette",23800612,23800610,5,5
"willamette",137182882,23792573,7,6
"willamette",23774325,23773487,1,1
"willamette",23780797,23780795,2,2
"willamette",23814970,23814968,3,3
"willamette",23780619,23780617,4,4
"willamette",23762667,23762665,5,5
"willamette",23792543,23791209,1,1
"willamette",23800574,23800572,2,2
"willamette",23796785,23796783,3,3
"willamette",23805040,23805042,4,4
"willamette",23796633,947090082,5,5
"willamette",23815058,23815056,7,6
"willamette",23801714,23801674,1,1
"willamette",23801336,23800608,2,2
"willamette",23809762,23809130,3,3
"willamette",23785929,23785927,4,4
"willamette",23762667,23762665,5,5
"willamette",23805512,23805514,1,1
"willamette",23773207,23773209,5,5
"willamette",23815278,23814998,2,2
"willamette",23796545,23796543,3,3
"willamette",23762683,23762681,4,4
"willamette",23791631,23791025,1,1
"willamette",23810484,23810480,2,2
"willamette",23809124,23809122,3,3
"willamette",23786199,23786197,4,4
"willamette",23773207,23773209,5,5
"willamette",23786791,23786067,1,1
"willamette",23801042,23800924,3,3
"willamette",23752478,23752476,4,4
"willamette",23751782,23751780,5,5
"willamette",23801156,23801200,1,1
"willamette",23791477,23791475,2,2
"willamette",23801616,23800672,3,3
"willamette",23786141,23786139,4,4
"willamette",23797353,23797367,1,1
"willamette",23759564,23759558,4,4
"willamette",23763147,23763145,5,5
"willamette",23810496,23809950,1,1
"willamette",23796993,23796991,2,2
"willamette",23809280,23809278,4,4
"willamette",23809168,23809166,5,5
"willamette",23791279,23791277,7,6
"willamette",23772925,23772923,3,3
"willamette",23791317,23791319,7,6
"willamette",23781737,23780567,1,1
"willamette",23774119,23773407,2,2
"willamette",23763609,23763607,3,3
"willamette",23804940,23804932,5,5
"willamette",23759508,23759506,1,1
"willamette",23810518,23810836,2,2
"willamette",23773901,23773923,3,3
"willamette",23752878,23752724,1,1
"willamette",23805538,23804982,2,2
"willamette",23809292,23809290,3,3
"willamette",23791089,23791091,7,6
"willamette",23815242,23815608,1,1
"willamette",23791315,23791317,7,6
"willamette",23787255,23785821,1,1
"willamette",23796857,23796855,2,2
"willamette",23814990,23814988,3,3
"willamette",23796583,23796499,4,4
"willamette",23751928,23751926,5,5
"willamette",23796893,23796695,3,3
"willamette",23762779,23762777,4,4
"willamette",23772821,23772819,5,5
"willamette",23786113,23786111,1,1
"willamette",23809144,23809142,2,2
"willamette",23772821,23772819,5,5
"willamette",23760080,23759524,1,1
"willamette",23801284,23801250,2,2
"willamette",23804984,23804982,3,3
"willamette",23805040,23805042,4,4
"willamette",23804866,23804854,5,5
"willamette",23801814,23800746,1,1
"willamette",23774661,23773281,2,2
"willamette",23791253,23791251,3,3
"willamette",23762673,23762671,4,4
"willamette",23791017,23791015,7,6
"willamette",23815106,23815104,1,1
"willamette",23796655,23796653,3,3
"willamette",23759518,23759516,4,4
"willamette",23759230,23759228,5,5
"willamette",137182882,23792573,7,6
"willamette",23781849,23781833,1,1
"willamette",23810512,23809026,3,3
"willamette",23796499,23796497,5,5
"willamette",23801496,23800650,1,1
"willamette",23809280,23809278,4,4
"willamette",23773207,23773209,5,5
"willamette",23801766,23800736,1,1
"willamette",23773477,23773475,2,2
"willamette",23809248,23809246,4,4
"willamette",23773207,23773209,5,5
"willamette",23815058,23815056,7,6
"willamette",23786045,23786043,3,3
"willamette",23752118,23752116,4,4
"willamette",23765615,23763153,1,1
"willamette",23763703,23763701,2,2
"willamette",23752656,23752654,3,3
"willamette",23752048,23752046,4,4
"willamette",23762667,23762665,5,5
"willamette",23786057,23786055,2,2
"willamette",23763011,23763009,3,3
"willamette",23751936,23751934,4,4
"willamette",23796683,23796681,5,5
"willamette",23810622,23809314,1,1
"willamette",23796661,23796659,3,3
"willamette",23809214,23809212,4,4
"willamette",23762667,23762665,5,5
"willamette",23815058,23815056,7,6
"willamette",23815358,23815350,1,1
"willamette",23815128,23815066,2,2
"willamette",23763185,23763183,3,3
"willamette",23796531,23796529,4,4
"willamette",23786641,23786207,2,2
"willamette",23762947,23762945,3,3
"willamette",23764093,23764103,1,1
"willamette",23763963,23763961,2,2
"willamette",23763185,23763183,3,3
"willamette",23814914,23814912,5,5
"willamette",23791017,23791015,7,6
"willamette",23815568,23815200,1,1
"willamette",23804978,23804976,3,3
"willamette",23796723,23796721,4,4
"willamette",23753222,23753224,1,1
"willamette",23781757,23780971,2,2
"willamette",23752478,23752476,4,4
"willamette",23763147,23763145,5,5
"willamette",23791293,23791291,7,6
"willamette",23809964,23809982,1,1
"willamette",23787099,23785897,2,2
"willamette",23805090,23805092,4,4
"willamette",23780577,23780575,5,5
"willamette",23800910,23800908,1,1
"willamette",23773595,23773593,2,2
"willamette",23805138,23805144,3,3
"willamette",23751782,23751780,5,5
"willamette",23765679,23765959,1,1
"willamette",23805802,23805290,2,2
"willamette",23801662,23801652,2,2
"willamette",23773431,23773429,3,3
"willamette",23785803,23785801,4,4
"willamette",23752304,23752302,3,3
"willamette",23751940,23751938,4,4
"willamette",23801736,23800678,1,1
"willamette",23773163,23773161,3,3
"willamette",23751936,23751934,4,4
"willamette",23780747,23780745,2,2
"willamette",23800570,23800568,3,3
"willamette",23763539,23763537,4,4
"willamette",23751928,23751926,5,5
"willamette",23791017,23791015,7,6
"willamette",23791877,23791871,1,1
"willamette",23765571,23763241,2,2
"willamette",23763539,23763537,4,4
"willamette",23800596,23800594,5,5
"willamette",23815058,23815056,7,6
"willamette",23810086,23809452,1,1
"willamette",23805034,23805032,2,2
"willamette",23805040,23805042,4,4
"willamette",23774637,23774641,1,1
"willamette",23797195,23797205,3,3
"willamette",23809168,23809166,5,5
"willamette",137182882,23792573,7,6
"willamette",23781823,23780645,1,1
"willamette",23800808,23800806,2,2
"willamette",23785851,23785849,3,3
"willamette",23786199,23786197,4,4
"willamette",23804856,23804858,5,5
"willamette",23805402,23805456,1,1
"willamette",23785773,23785771,5,5
"willamette",23791017,23791015,7,6
"willamette",23786619,23786553,1,1
"willamette",23815490,23815074,2,2
"willamette",23759474,23759472,4,4
"willamette",23800670,23800668,5,5
"willamette",23801544,23800764,1,1
"willamette",23809218,23809216,3,3
"willamette",23805048,23804932,4,4
"willamette",23773309,23773311,5,5
"willamette",137182882,23792573,7,6
"willamette",23810124,23810104,1,1
"willamette",23781001,23780999,2,2
"willamette",23773129,23773127,3,3
"willamette",23809204,23809202,4,4
"willamette",137182882,23792573,7,6
"willamette",23792389,23791435,1,1
"willamette",23809236,23809186,4,4
"willamette",23791017,23791015,7,6
"willamette",23753066,23752742,1,1
"willamette",23791559,23791557,2,2
"willamette",23796537,23796535,3,3
"willamette",23780577,23780575,5,5
"willamette",23797139,23797147,1,1
"willamette",23809132,23809130,2,2
"willamette",23800974,23800972,3,3
"willamette",23780731,23780729,4,4
"willamette",23785773,23785771,5,5
"willamette",23791279,23791277,7,6
"willamette",23781201,23781221,1,1
"willamette",23800808,23800806,2,2
"willamette",23809416,23809168,4,4
"willamette",23785773,23785771,5,5
"willamette",23785975,23785973,3,3
"willamette",23763539,23763537,4,4
"willamette",23796539,23796537,2,2
"willamette",23785773,23785771,5,5
"willamette",23759994,23759454,1,1
"willamette",23786047,23786045,3,3
"willamette",23791199,23791197,4,4
"willamette",23774503,23773025,1,1
"willamette",23815002,23815000,2,2
"willamette",23763161,23763159,4,4
"willamette",23785645,23785643,5,5
"willamette",23801520,23801508,1,1
"willamette",23785863,23785861,2,2
"willamette",23796531,23796529,4,4
"willamette",23809174,23809172,5,5
"willamette",23815058,23815056,7,6
"willamette",23763859,23763857,1,1
"willamette",23786361,23785885,2,2
"willamette",23801174,23800946,3,3
"willamette",23763531,23763529,4,4
"willamette",23751928,23751926,5,5
"willamette",23764143,23762671,1,1
"willamette",23800920,23800918,3,3
"willamette",23809416,23809168,4,4
"willamette",23772997,23772999,5,5
"willamette",23805778,23805160,1,1
"willamette",23796623,23796621,2,2
"willamette",23764373,23764345,3,3
"willamette",23815608,23815018,1,1
"willamette",23786169,23786167,2,2
"willamette",23805166,23805164,3,3
"willamette",23780731,23780729,4,4
"willamette",23815058,23815056,7,6
"willamette",23765369,23765379,1,1
"willamette",23762917,23762915,3,3
"willamette",23809148,23809112,5,5
"willamette",23773843,23773459,1,1
"willamette",23765313,23763175,2,2
"willamette",23759460,23759458,4,4
"willamette",23800826,23800824,5,5
"willamette",23764049,23762687,1,1
"willamette",23763313,23765071,2,2
"willamette",23796547,23796545,3,3
"willamette",23762747,23762745,4,4
"willamette",23763907,23762755,2,2
"willamette",23752564,23752562,3,3
"willamette",23809112,23809110,5,5
"willamette",23752558,23752556,3,3
"willamette",23763081,23763079,5,5
"willamette",23753236,23753160,1,1
"willamette",23753102,23752492,2,2
"willamette",23773019,23773017,4,4
"willamette",23763147,23763145,5,5
"willamette",23791017,23791015,7,6
"willamette",23815202,23815184,1,1
"willamette",23800738,23800736,2,2
"willamette",23809174,23809172,5,5
"willamette",23810458,23810860,1,1
"willamette",23791791,23791785,2,2
"willamette",23804960,23804958,3,3
"willamette",23804946,23804944,4,4
"willamette",23787165,23785759,1,1
"willamette",23810712,23810714,3,3
"willamette",23780577,23780575,5,5
"willamette",23800944,23800942,4,4
"willamette",23773311,23773313,5,5
"willamette",23815456,23815450,1,1
"willamette",23800752,23800750,2,2
"willamette",23759530,23759528,3,3
"willamette",23804892,23804890,4,4
"willamette",23751782,23751780,5,5
"willamette",23805468,23805264,1,1
"willamette",23764209,23764227,3,3
"willamette",23786199,23786197,4,4
"willamette",23773309,23773311,5,5
"willamette",23791281,23791279,7,6
"willamette",23753870,23752160,1,1
"willamette",23774483,23773203,2,2
"willamette",23752676,23752674,3,3
"willamette",23762881,23762879,5,5
"willamette",23765345,23763191,1,1
"willamette",23759412,23759410,3,3
"willamette",23796499,23796497,5,5
"willamette",23791305,23791303,7,6
"willamette",23805802,23805290,2,2
"willamette",23780723,23780721,4,4
"willamette",23791071,23791073,7,6
"willamette",23752816,23752814,1,1
"willamette",23780951,23780623,2,2
"willamette",23751928,23751926,5,5
"willamette",23791017,23791015,7,6
"willamette",23801672,23800922,1,1
"willamette",947090083,947090084,3,3
"willamette",23762679,23762675,4,4
"willamette",23781885,23781875,1,1
"willamette",23752400,23752398,3,3
"willamette",23762897,23762895,4,4
"willamette",23809174,23809172,5,5
"willamette",23791089,23791091,7,6
"willamette",23810526,23810522,1,1
"willamette",23805290,23805288,3,3
"willamette",23780703,23780701,4,4
"willamette",23815044,23815042,7,6
"willamette",23781323,23780771,1,1
"willamette",23786375,23785815,3,3
"willamette",23762751,23762749,4,4
"willamette",23772745,23772743,5,5
"willamette",23792601,23792235,1,1
"willamette",23791021,23791019,3,3
"willamette",23781749,23781745,1,1
"willamette",23815028,23815032,3,3
"willamette",23785773,23785771,5,5
"willamette",23815058,23815056,7,6
"willamette",23809668,23809666,1,1
"willamette",23763707,23763705,2,2
"willamette",23762653,23762651,5,5
"willamette",23774533,23774447,1,1
"willamette",23763781,23763779,3,3
"willamette",23773361,23773359,4,4
"willamette",23763135,23763133,5,5
"willamette",23791017,23791015,7,6
"willamette",23781015,23781017,1,1
"willamette",23809012,23809010,5,5
"willamette",947090090,947090089,1,1
"willamette",23759966,23759382,2,2
"willamette",23786239,23786237,4,4
"willamette",23800648,23800646,5,5
"willamette",23781329,23780713,1,1
"willamette",23805004,23805002,2,2
"willamette",23773279,23773277,3,3
"willamette",23791017,23791015,7,6
"willamette",23801252,23800590,1,1
"willamette",23759540,23759538,3,3
"willamette",23752380,23752378,4,4
"willamette",23809168,23809166,5,5
"willamette",23791689,23791023,1,1
"willamette",23786733,23786029,2,2
"willamette",23800884,23800882,3,3
"willamette",23773013,23773011,4,4
"willamette",23800826,23800824,5,5
"willamette",23786749,23786107,1,1
"willamette",23796767,23796765,2,2
"willamette",23791199,23791197,4,4
"willamette",23772777,23772775,5,5
"willamette",23815058,23815056,7,6
"willamette",23801104,23800564,1,1
"willamette",23791037,23791035,3,3
"willamette",23773361,23773359,4,4
"willamette",23780481,23780479,5,5
"willamette",23815058,23815056,7,6
"willamette",23751958,23751956,2,2
"willamette",23809602,23809600,3,3
"willamette",23773247,23773245,4,4
"willamette",23762893,23762891,5,5
"willamette",137182882,23792573,7,6
"willamette",23752996,23752988,1,1
"willamette",23809294,23809292,2,2
"willamette",23785857,23785855,3,3
"willamette",23751900,23751898,5,5
"willamette",23781715,23780629,1,1
"willamette",137182882,23792573,7,6
"willamette",23753694,23752318,1,1
"willamette",23786457,23786459,2,2
"willamette",23792597,23792215,3,3
"willamette",23759316,23759314,4,4
"willamette",23792347,23792379,1,1
"willamette",23805072,23805070,3,3
"willamette",23780677,23780675,4,4
"willamette",23814914,23814912,5,5
"willamette",23791017,23791015,7,6
"willamette",23764233,23764203,1,1
"willamette",23800878,23800876,4,4
"willamette",23772727,23772725,5,5
"willamette",23753346,23753330,1,1
"willamette",23780725,23780723,4,4
"willamette",23785773,23785771,5,5
"willamette",947090078,23791995,7,6
"willamette",23773757,23773777,1,1
"willamette",23805288,23805286,3,3
"willamette",23809352,23809350,4,4
"willamette",23809168,23809166,5,5
"willamette",23765641,23765061,1,1
"willamette",23809678,23809676,3,3
"willamette",23773037,23773035,4,4
"willamette",23773309,23773311,5,5
"willamette",137182882,23792573,7,6
"willamette",23752918,23752690,1,1
"willamette",23759750,23759256,3,3
"willamette",23809262,23809248,4,4
"willamette",23763147,23763145,5,5
"willamette",23774059,23774023,1,1
"willamette",23780989,23780987,2,2
"willamette",23763147,23763145,5,5
"willamette",23815058,23815056,7,6
"willamette",23792335,23791437,1,1
"willamette",23759682,23759432,2,2
"willamette",23763605,23763603,3,3
"willamette",23751782,23751780,5,5
"willamette",23762705,23762703,3,3
"willamette",23800670,23800668,5,5
"willamette",23801296,23801282,1,1
"willamette",23773671,23773473,2,2
"willamette",23805072,23805070,3,3
"willamette",23751778,23751776,5,5
"willamette",23815058,23815056,7,6
"willamette",23780559,23780557,3,3
"willamette",23800858,23800856,4,4
"willamette",23772997,23772999,5,5
"willamette",23815500,23815506,1,1
"willamette",23809980,23809970,3,3
"willamette",23751936,23751934,4,4
"willamette",23796683,23796681,5,5
"willamette",23814908,23735691,7,6
"willamette",23797165,23796711,1,1
"willamette",23787073,23785889,2,2
"willamette",23759500,23759486,3,3
"willamette",23762783,23762781,4,4
"willamette",23774483,23773203,2,2
"willamette",23809454,23809452,3,3
"willamette",23809026,23809024,4,4
"willamette",23751928,23751926,5,5
"willamette",23752406,23752404,3,3
"willamette",23786037,23786035,4,4
"willamette",23751928,23751926,5,5
"willamette",23791017,23791015,7,6
"willamette",23752692,23752690,1,1
"willamette",23765959,23765469,2,2
"willamette",23785941,23785939,3,3
"willamette",23796735,23796733,4,4
"willamette",23800596,23800594,5,5
"willamette",23815058,23815056,7,6
"willamette",23774983,23774985,2,2
"willamette",23809404,23809402,3,3
"willamette",23762683,23762681,4,4
"willamette",23800652,23800650,5,5
"willamette",23773867,23773877,1,1
"willamette",23791199,23791197,4,4
"willamette",23773309,23773311,5,5
"willamette",23791017,23791015,7,6
"willamette",23809736,23809734,2,2
"willamette",23773361,23773359,4,4
"willamette",23804882,23804880,5,5
"willamette",137182882,23792573,7,6
"willamette",23797289,23796753,1,1
"willamette",23800950,23800948,3,3
"willamette",23791197,23791195,4,4
"willamette",23815160,23815158,1,1
"willamette",23815086,947090027,2,2
"willamette",23800672,23800670,4,4
"willamette",23809112,23809110,5,5
"willamette",23791017,23791015,7,6
"willamette",23800768,23800766,3,3
"willamette",23791105,23791103,4,4
"willamette",23772745,23772743,5,5
"willamette",23774663,23772977,1,1
"willamette",23805588,23805008,2,2
"willamette",23759284,23759282,5,5
"willamette",23792369,23792331,1,1
"willamette",23762917,23762915,3,3
"willamette",23791105,23791103,4,4
